704-708,대구,달서구,상인1동 상인화성파크드림1단지아파트,(1101∼1114동),12155
704-709,대구,달서구,상인1동 상인화성파크드림2단지아파트,(2101∼2113동),12156
704-772,대구,달서구,상인1동 상인화성하이츠아파트,(101∼103동),12157
704-754,대구,달서구,상인1동 서한아파트,,12158
704-711,대구,달서구,상인1동 성지한서맨션,(101∼105동),12159
704-773,대구,달서구,상인1동 송현주공3단지아파트,(301∼310동),12160
704-842,대구,달서구,상인1동 신일해피트리아파트,(101∼107동),12161
704-755,대구,달서구,상인1동 영남아파트,,12162
704-710,대구,달서구,상인1동 월촌보성화성타운,(101∼105동),12163
704-754,대구,달서구,상인1동 청구아파트,,12164
704-756,대구,달서구,상인1동 현대동방아파트,,12165
704-755,대구,달서구,상인1동 화성아파트,,12166
704-808,대구,달서구,상인1동,1∼200,12167
704-808,대구,달서구,상인1동,700∼796,12168
704-813,대구,달서구,상인1동,797∼999,12169
704-814,대구,달서구,상인1동,1000∼1099,12170
704-813,대구,달서구,상인1동,1384,12171
704-808,대구,달서구,상인1동,1500,12172
704-814,대구,달서구,상인1동,1501,12173
704-808,대구,달서구,상인1동,1502∼1513,12174
704-814,대구,달서구,상인1동,1514∼1519,12175
704-818,대구,달서구,상인1동,1520∼1529,12176
704-814,대구,달서구,상인1동,1530∼1546,12177
704-371,대구,달서구,상인1동,,12178
704-757,대구,달서구,상인2동 낙원아파트,,12179
704-758,대구,달서구,상인2동 백조아파트,,12180
704-758,대구,달서구,상인2동 보라아파트,,12181
704-759,대구,달서구,상인2동 보성산호아파트,,12182
704-771,대구,달서구,상인2동 상인푸르지오아파트,(101∼107동),12183
704-757,대구,달서구,상인2동 우방청자아파트,,12184
704-759,대구,달서구,상인2동 한양은하아파트,,12185
704-809,대구,달서구,상인2동,201∼299,12186
704-817,대구,달서구,상인2동,300∼399,12187
704-811,대구,달서구,상인2동,400∼499,12188
704-812,대구,달서구,상인2동,500∼699,12189
704-815,대구,달서구,상인2동,1100∼1173,12190
704-815,대구,달서구,상인2동,1177∼1179,12191
704-811,대구,달서구,상인2동,1250∼1383,12192
704-809,대구,달서구,상인2동,1385∼1434,12193
704-817,대구,달서구,상인2동,1435∼1472,12194
704-809,대구,달서구,상인2동,1473,12195
704-812,대구,달서구,상인2동,1474,12196
704-811,대구,달서구,상인2동,1475∼1476,12197
704-817,대구,달서구,상인2동,1477∼1499,12198
704-372,대구,달서구,상인2동,,12199
704-775,대구,달서구,상인3동 비둘기아파트,,12200
704-760,대구,달서구,상인3동 은행아파트,,12201
704-761,대구,달서구,상인3동 장미아파트,,12202
704-762,대구,달서구,상인3동 제림아파트,,12203
704-762,대구,달서구,상인3동 평광아파트,,12204
704-816,대구,달서구,상인3동,1174∼1176,12205
704-816,대구,달서구,상인3동,1180∼1249,12206
704-816,대구,달서구,상인3동,1547∼1562,12207
704-819,대구,달서구,상인3동,1563∼1564,12208
704-816,대구,달서구,상인3동,1565∼1576,12209
704-819,대구,달서구,상인3동,1577∼1600,12210
704-373,대구,달서구,상인3동,,12211
704-370,대구,달서구,상인동,,12212
704-970,대구,달서구,성당동 성당두산위브,(101∼106동),12213
704-969,대구,달서구,성당동 성당래미안e-편한세상3단지아파트,(301∼309동),12214
704-963,대구,달서구,성당동 성당포스코더샵아파트,(101∼108동),12215
704-915,대구,달서구,성당동,1∼389,12216
704-916,대구,달서구,성당동,390∼433,12217
704-915,대구,달서구,성당동,434∼489,12218
704-916,대구,달서구,성당동,490∼505,12219
704-915,대구,달서구,성당동,506∼551,12220
704-917,대구,달서구,성당동,552∼639,12221
